case_id,base_id,family,defective,tools_available,kind,exact_correct,outcome,failure_code,input_tokens,output_tokens,accounted_cost_usd
td-main-reconciliation-0029-d1-t1,td-main-reconciliation-0029,reconciliation,True,True,final_answer,True,pass,,694,16,0.0005805
td-main-reconciliation-0019-d0-t1,td-main-reconciliation-0019,reconciliation,False,True,final_answer,True,pass,,2680,242,0.0029175
td-main-formal_rules-0029-d1-t1,td-main-formal_rules-0029,formal_rules,True,True,final_answer,True,pass,,1720,192,0.002010
td-main-reconciliation-0013-d0-t0,td-main-reconciliation-0013,reconciliation,False,False,final_answer,True,pass,,404,325,0.00152175
td-main-record_preparation-0016-d1-t0,td-main-record_preparation-0016,record_preparation,True,False,final_answer,True,pass,,883,444,0.00232725
td-main-record_preparation-0034-d1-t0,td-main-record_preparation-0034,record_preparation,True,False,final_answer,True,pass,,839,217,0.001443
td-main-formal_rules-0004-d1-t0,td-main-formal_rules-0004,formal_rules,True,False,final_answer,True,pass,,394,19,0.00036675
td-main-formal_rules-0053-d1-t0,td-main-formal_rules-0053,formal_rules,True,False,final_answer,True,pass,,491,19,0.0004395
td-main-reconciliation-0022-d0-t1,td-main-reconciliation-0022,reconciliation,False,True,final_answer,True,pass,,1479,177,0.00177300
td-main-formal_rules-0026-d1-t1,td-main-formal_rules-0026,formal_rules,True,True,final_answer,True,pass,,1621,168,0.00184575
td-main-reconciliation-0044-d0-t1,td-main-reconciliation-0044,reconciliation,False,True,final_answer,True,pass,,748,21,0.00063975
td-main-formal_rules-0020-d0-t1,td-main-formal_rules-0020,formal_rules,False,True,final_answer,True,pass,,1306,64,0.0012195
td-main-formal_rules-0051-d0-t0,td-main-formal_rules-0051,formal_rules,False,False,final_answer,True,pass,,520,116,0.000825
td-main-record_preparation-0011-d0-t0,td-main-record_preparation-0011,record_preparation,False,False,final_answer,True,pass,,777,122,0.00104025
td-main-reconciliation-0032-d1-t1,td-main-reconciliation-0032,reconciliation,True,True,final_answer,True,pass,,626,178,0.001137
td-main-formal_rules-0027-d1-t0,td-main-formal_rules-0027,formal_rules,True,False,final_answer,True,pass,,489,19,0.000438
td-main-record_preparation-0023-d1-t1,td-main-record_preparation-0023,record_preparation,True,True,final_answer,True,pass,,1054,93,0.00113925
td-main-record_preparation-0017-d0-t0,td-main-record_preparation-0017,record_preparation,False,False,final_answer,True,pass,,989,186,0.00143925
td-main-record_preparation-0043-d1-t0,td-main-record_preparation-0043,record_preparation,True,False,final_answer,True,pass,,543,82,0.00071475
td-main-formal_rules-0043-d1-t0,td-main-formal_rules-0043,formal_rules,True,False,final_answer,True,pass,,424,19,0.00038925
td-main-record_preparation-0013-d0-t0,td-main-record_preparation-0013,record_preparation,False,False,final_answer,True,pass,,792,127,0.00107025
td-main-formal_rules-0048-d0-t1,td-main-formal_rules-0048,formal_rules,False,True,final_answer,True,pass,,1717,261,0.00226650
td-main-record_preparation-0009-d1-t0,td-main-record_preparation-0009,record_preparation,True,False,final_answer,True,pass,,937,121,0.0011565
td-main-reconciliation-0046-d1-t0,td-main-reconciliation-0046,reconciliation,True,False,final_answer,True,pass,,389,164,0.00090675
td-main-record_preparation-0027-d0-t1,td-main-record_preparation-0027,record_preparation,False,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,3821,132,0.00336075
td-main-record_preparation-0042-d0-t1,td-main-record_preparation-0042,record_preparation,False,True,final_answer,True,pass,,2272,259,0.00267525
td-main-formal_rules-0038-d0-t1,td-main-formal_rules-0038,formal_rules,False,True,final_answer,True,pass,,1600,192,0.0019200
td-main-reconciliation-0042-d0-t0,td-main-reconciliation-0042,reconciliation,False,False,final_answer,True,pass,,501,28,0.00048075
td-main-record_preparation-0016-d0-t0,td-main-record_preparation-0016,record_preparation,False,False,final_answer,True,pass,,883,154,0.00123975
td-main-record_preparation-0005-d1-t0,td-main-record_preparation-0005,record_preparation,True,False,final_answer,True,pass,,551,95,0.0007695
td-main-formal_rules-0049-d1-t1,td-main-formal_rules-0049,formal_rules,True,True,final_answer,True,pass,,1519,143,0.0016755
td-main-record_preparation-0051-d1-t1,td-main-record_preparation-0051,record_preparation,True,True,final_answer,True,pass,,4133,245,0.00401850
td-main-formal_rules-0032-d0-t1,td-main-formal_rules-0032,formal_rules,False,True,final_answer,True,pass,,1726,264,0.00228450
td-main-reconciliation-0005-d1-t1,td-main-reconciliation-0005,reconciliation,True,True,final_answer,True,pass,,762,16,0.0006315
td-main-record_preparation-0021-d0-t0,td-main-record_preparation-0021,record_preparation,False,False,final_answer,True,pass,,765,186,0.00127125
td-main-formal_rules-0047-d1-t1,td-main-formal_rules-0047,formal_rules,True,True,final_answer,True,pass,,2300,143,0.00226125
td-main-record_preparation-0036-d1-t1,td-main-record_preparation-0036,record_preparation,True,True,final_answer,True,pass,,866,157,0.00123825
td-main-reconciliation-0045-d1-t1,td-main-reconciliation-0045,reconciliation,True,True,final_answer,True,pass,,630,238,0.001365
td-main-formal_rules-0012-d1-t0,td-main-formal_rules-0012,formal_rules,True,False,final_answer,True,pass,,490,19,0.00043875
td-main-reconciliation-0014-d0-t0,td-main-reconciliation-0014,reconciliation,False,False,final_answer,True,pass,,503,48,0.00055725
td-main-reconciliation-0052-d1-t1,td-main-reconciliation-0052,reconciliation,True,True,final_answer,True,pass,,762,16,0.0006315
td-main-formal_rules-0044-d1-t1,td-main-formal_rules-0044,formal_rules,True,True,final_answer,True,pass,,1501,91,0.0014670
td-main-reconciliation-0056-d1-t1,td-main-reconciliation-0056,reconciliation,True,True,final_answer,True,pass,,723,16,0.00060225
td-main-reconciliation-0003-d0-t0,td-main-reconciliation-0003,reconciliation,False,False,final_answer,True,pass,,437,19,0.000399
td-main-formal_rules-0022-d1-t0,td-main-formal_rules-0022,formal_rules,True,False,final_answer,True,pass,,455,19,0.0004125
td-main-record_preparation-0052-d1-t0,td-main-record_preparation-0052,record_preparation,True,False,final_answer,True,pass,,1095,778,0.00373875
td-main-formal_rules-0006-d1-t1,td-main-formal_rules-0006,formal_rules,True,True,final_answer,True,pass,,1302,44,0.0011415
td-main-formal_rules-0023-d0-t1,td-main-formal_rules-0023,formal_rules,False,True,final_answer,True,pass,,1522,176,0.0018015
td-main-formal_rules-0034-d0-t0,td-main-formal_rules-0034,formal_rules,False,False,final_answer,True,pass,,519,108,0.00079425
td-main-record_preparation-0041-d1-t0,td-main-record_preparation-0041,record_preparation,True,False,final_answer,True,pass,,957,512,0.00263775
td-main-formal_rules-0040-d0-t0,td-main-formal_rules-0040,formal_rules,False,False,final_answer,True,pass,,425,58,0.00053625
td-main-record_preparation-0013-d1-t0,td-main-record_preparation-0013,record_preparation,True,False,final_answer,True,pass,,792,352,0.001914
td-main-reconciliation-0021-d0-t1,td-main-reconciliation-0021,reconciliation,False,True,final_answer,True,pass,,1474,178,0.00177300
td-main-reconciliation-0015-d0-t0,td-main-reconciliation-0015,reconciliation,False,False,final_answer,True,pass,,503,42,0.00053475
td-main-formal_rules-0037-d0-t1,td-main-formal_rules-0037,formal_rules,False,True,final_answer,True,pass,,1519,175,0.0017955
td-main-formal_rules-0031-d0-t1,td-main-formal_rules-0031,formal_rules,False,True,final_answer,True,pass,,1408,101,0.00143475
td-main-formal_rules-0007-d1-t1,td-main-formal_rules-0007,formal_rules,True,True,final_answer,True,pass,,2682,193,0.00273525
td-main-reconciliation-0018-d0-t0,td-main-reconciliation-0018,reconciliation,False,False,final_answer,True,pass,,472,384,0.001794
td-main-formal_rules-0002-d1-t1,td-main-formal_rules-0002,formal_rules,True,True,final_answer,True,pass,,1408,69,0.00131475
td-main-reconciliation-0034-d0-t1,td-main-reconciliation-0034,reconciliation,False,True,final_answer,True,pass,,744,45,0.00072675
td-main-record_preparation-0006-d1-t1,td-main-record_preparation-0006,record_preparation,True,True,final_answer,True,pass,,3651,278,0.00378075
td-main-record_preparation-0038-d0-t1,td-main-record_preparation-0038,record_preparation,False,True,final_answer,True,pass,,922,86,0.001014
td-main-record_preparation-0051-d1-t0,td-main-record_preparation-0051,record_preparation,True,False,final_answer,True,pass,,1010,194,0.001485
